,kanji,kana,definition
5318,堤,つつみ,"embankment,  bank,  dike"
5319,堤防,ていぼう,"embankment,  bank,  levee"
5320,漂う,ただよう,to drift
5321,翻意,ほんい,"change one's mind,  change your mind"
5322,興奮,こうふん,"excitement,  stimulation"
5323,翻る,ひるがえる,"to flip,  to turn over,  to flip over"
5324,皇后,こうごう,japanese empress
5325,奮起,ふんき,"stirring,  rousing oneself"
5326,仰々しい,ぎょうぎょうしい,"pompous,  exaggerated"
5327,伯母,おば,aunt
5328,偶然,ぐうぜん,"by chance,  unexpectedly"
5329,淀川,よどがわ,yodogawa
5330,古墳,こふん,"ancient tomb,  ancient mound"
5331,運搬,うんぱん,"transport,  carriage"
5332,搬出,はんしゅつ,carry out
5333,液晶,えきしょう,liquid crystal
5334,洞,ほら,"cave,  den"
5335,検疫,けんえき,quarantine
5336,生涯,しょうがい,"one's lifetime,  one's career"
5337,免疫,めんえき,"immunity,  immunization"
5338,脅す,おどす,to threaten
5339,飢え,うえ,"hunger,  starvation"
5340,尽くす,つくす,"to exhaust,  to run out,  to do to exhaustion"
5341,彩り,いろどり,"coloring,  colouring,  color scheme,  makeup"
5342,悔やむ,くやむ,"to regret,  to mourn,  to lament"
5343,遂げる,とげる,"to accomplish,  to achieve,  to carry out"
5344,麻布,あさぬの,"hemp cloth,  linen"
5345,伯父,おじ,uncle
5346,無邪気,むじゃき,"innocence,  simple mindedness,  innocent,  simple minded,  naive"
5347,悪賢い,わるがしこい,"devious,  cunning,  crafty,  wily"
5348,邪,よこしま,"wicked,  evil"
5349,下駄,げた,"geta,  japanese wooden clogs"
5350,宮廷,きゅうてい,"imperial court,  royal court"
5351,諮る,はかる,"to consult with,  to discuss,  to confer"
5352,銘柄,めいがら,"brand,  make"
5353,銘々,めいめい,"each,  individual"
5354,堰,せき,dam
5355,漂流,ひょうりゅう,"drifting,  drift"
5356,漂着,ひょうちゃく,drifting ashore
5357,軌跡,きせき,"tire track,  path one has taken"
5358,軌道,きどう,"orbit,  trajectory"
5359,〜亭,てい,"restaurant,  traditional japanese restaurant"
5360,仰天,ぎょうてん,"taken aback,  amazed,  horrified,  flabbergasted"
5361,信仰,しんこう,religious faith
5362,伯,はく,"chief,  count,  earl"
5363,偶に,たまに,"occasionally,  once in a while"
5364,配偶者,はいぐうしゃ,"spouse,  partner"
5365,壮年,そうねん,prime of life
5366,壮行,そうこう,rousing
5367,〜把,わ,counter for bundles
5368,把握,はあく,"grasp,  catch"
5369,搬送,はんそう,transportation
5370,水晶,すいしょう,crystal
5371,空洞,くうどう,"cave,  hollow,  cavity"
5372,洞穴,どうけつ,"cave,  den"
5373,疫病,えきびょう,"infectious disease,  plague,  epidemic"
5374,殴り合い,なぐりあい,"fistfight,  fist fight"
5375,灯る,ともる,"to burn,  to be lighted,  to be lit,  to be burning"
5377,潤い,うるおい,"moisture,  damp,  wetness"
5378,耕す,たがやす,"to till,  to plow,  to plough,  to cultivate"
5379,肯定,こうてい,"positive,  affirmation"
5380,片隅,かたすみ,"corner,  nook"
5381,耕作,こうさく,"cultivation,  farming"
5382,貞節,ていせつ,"chastity,  virtue,  fidelity"
5383,私邸,してい,private residence
5384,耕地,こうち,arable land
5385,蓮花,れんげ,"lotus flower,  lotus"
5386,勘定,かんじょう,"calculation,  counting,  allowance,  payment,  bill,  check"
5387,召す,めす,"to humbly call,  to humbly invite,  to humbly eat,  to humbly drink"
5388,沸点,ふってん,boiling point
5389,喚く,わめく,"to shout,  to scream"
5390,召喚,しょうかん,"summon,  summons"
5391,塚,つか,mound
5392,愛媛県,えひめけん,ehime prefecture
5393,挟む,はさむ,"to insert,  to put between"
5394,枯渇,こかつ,"drying up,  dry up,  running dry"
5395,沸く,わく,"to boil,  to grow hot,  to get excited"
5396,枯れる,かれる,"to wither,  to die"
5397,邸内,ていない,"grounds,  premises"
5398,郊外,こうがい,"suburb,  outskirts"
5399,近郊,きんこう,"suburbs,  outskirts"
5400,浸す,ひたす,"to soak,  to dip,  to drench"
5401,洗濯機,せんたくき,"washing machine,  laundry machine"
5402,洗濯粉,せんたくこ,detergent
5403,洗濯屋,せんたくや,laundromat
5404,乾燥,かんそう,"dehydration,  dryness"
5405,焦燥,しょうそう,"impatience,  uneasy,  irritation"
5406,玄関,げんかん,"entranceway,  entry hall,  foyer,  entryway"
5407,玄米,げんまい,"unpolished rice,  unmilled rice,  brown rice"
5408,聡い,さとい,"smart,  sensitive,  discerning"
5409,聡明,そうめい,"wisdom,  sagacity"
5410,脂肪,しぼう,"fat,  grease,  blubber"
5411,樹脂,じゅし,resin
5412,苗,なえ,seedling
5413,苗字,みょうじ,"surname,  family name"
5414,蓮,はす,sacred lotus
5415,覆う,おおう,"to cover,  to hide,  to conceal"
5416,軟禁,なんきん,house arrest
5417,公邸,こうてい,official residence
5418,解釈,かいしゃく,"explanation,  interpretation"
5419,隅,すみ,"corner,  nook,  recess"
5420,釈明,しゃくめい,"explanation,  vindication"
5421,偉人,いじん,"great person,  great man,  hero"
5422,偉い,えらい,"great,  excellent,  admirable,  remarkable"
5423,喚起,かんき,"awaken,  rouse,  evoke,  excite"
5424,慈悲,じひ,"compassion,  benevolence,  charity,  mercy"
5425,慈愛,じあい,"affection,  kindness,  love"
5426,慈善,じぜん,"charity,  philanthropy"
5427,浦,うら,"bay,  inlet"
5428,渦,うず,"whirlpool,  eddy,  vortex"
5429,渦中,かちゅう,"vortex,  maelstrom"
5430,空き瓶,あきびん,empty bottle
5431,火炎瓶,かえんびん,molotov cocktail
5432,瓶詰,びんづめ,"bottling,  bottled"
5433,農耕,のうこう,"farming,  agriculture"
5434,皮膚,ひふ,skin
5435,貞操,ていそう,"chastity,  virtue,  fidelity"
5436,不貞,ふてい,"unfaithful,  infidelity"
5437,軒,のき,"eaves,  stand in a row,  stand side by side"
5438,〜軒,けん,"house counter,  counter for houses"
5439,柔軟,じゅうなん,"flexible,  pliable"
5440,官邸,かんてい,official residence
5441,郡,ぐん,"district,  county"
5442,注釈,ちゅうしゃく,"notes,  comment,  remark,  annotation"
5443,四隅,よすみ,four corners
5444,隅々,すみずみ,"nooks,  corners"
5445,〜隻,せき,"ship counter,  counter for ships"
5446,山頂,さんちょう,summit
5447,襟,えり,"collar,  lapel,  neck"
5448,偉大,いだい,"greatness,  grand,  outstanding"
5449,花瓶,かびん,"vase,  flower vase"
5450,邸宅,ていたく,"mansion,  residence"
5451,会釈,えしゃく,"nod,  greeting,  bow"
5452,頂く,いただく,"to humbly receive,  to humbly accept,  to humbly eat,  to humbly drink"
5453,瓶,びん,bottle
5455,偏狭,へんきょう,"narrow minded,  intolerance"
5456,恒久,こうきゅう,"permanent,  perpetual"
5457,惰性,だせい,"inertia,  habit,  momentum"
5458,閉鎖,へいさ,"closing,  closure,  shutdown,  lockout,  unsociable"
5459,偏見,へんけん,prejudice
5460,噴出,ふんしゅつ,"spewing,  gushing,  spouting,  eruption"
5461,擁する,ようする,"to have,  to possess"
5462,猟師,りょうし,"hunter,  huntsman"
5463,密猟,みつりょう,poaching
5464,遭遇,そうぐう,encounter
5465,噴煙,ふんえん,eruption of smoke
5466,発祥,はっしょう,origin
5467,不倫,ふりん,adultery
5468,偏る,かたよる,"to be biased,  to be one sided,  to be partial,  to be prejudiced"
5469,偏食,へんしょく,unbalanced diet
5470,噴火,ふんか,eruption
5471,噴射,ふんしゃ,"jet,  spray,  injection,  jet propulsion"
5472,噴水,ふんすい,water fountain
5473,怠る,おこたる,"to be negligent,  to shirk,  to be off one's guard"
5474,恒星,こうせい,star
5475,恒例,こうれい,"established practice,  established practise,  custom"
5476,恒常,こうじょう,"constant,  routine"
5477,我慢,がまん,"endurance,  perseverance,  tolerance,  patience,  self control"
5478,緩慢,かんまん,"slow,  sluggish,  dull"
5479,怠慢,たいまん,"negligence,  procrastination,  carelessness"
5480,抱擁,ほうよう,"embrace,  hug"
5481,擁立,ようりつ,"backing,  support"
5482,殊勝,しゅしょう,admirable
5483,没,ぼつ,"discard,  reject"
5484,没後,ぼつご,"after death,  posthumously"
5485,沈没,ちんぼつ,"sinking,  going down,  submersion"
5486,日没,にちぼつ,sunset
5487,没頭,ぼっとう,"immersing oneself,  immersing yourself,  immerse oneself,  immerse yourself"
5488,没落,ぼつらく,"ruin,  fall,  collapse"
5489,埋没,まいぼつ,"implantation,  burying,  embedding"
5490,没収,ぼっしゅう,"forfeiture,  seizure,  confiscation,  impounding"
5491,猟,りょう,"hunting,  game"
5492,狩猟,しゅりょう,hunting
5493,猟犬,りょうけん,"hunting dog,  hound"
5494,不祥事,ふしょうじ,scandal
5495,秩序,ちつじょ,"order,  regularity,  system,  method"
5496,膨大,ぼうだい,"huge,  bulky,  enormous,  extensive"
5497,膨張,ぼうちょう,"expansion,  swelling,  increase,  growth"
5498,芳香,ほうこう,"perfume,  fragrance,  aroma"
5499,芳しい,かんばしい,"sweet,  fragrant,  aromatic"
5500,茨,いばら,"thorn,  briar,  wild rose"
5501,覇権,はけん,hegemony
5502,覇者,はしゃ,"supreme ruler,  champion"
5503,連覇,れんぱ,successive championships
5504,〜貫,かん,"sushi pieces counter,  counter for pieces of sushi"
5505,一貫,いっかん,"one piece of sushi,  one sushi"
5506,貫通,かんつう,"pierce,  penetrate,  perforate"
5507,貫徹,かんてつ,"realization,  realisation,  penetration,  accomplishment"
5508,貫く,つらぬく,"to go through,  to pierce,  to penetrate,  to persist,  to stick to"
5509,賠償,ばいしょう,"reparations,  compensation"
5510,処遇,しょぐう,"treatment,  dealing with"
5511,待遇,たいぐう,"treatment,  reception"
5512,優遇,ゆうぐう,"favorable treatment,  hospitality,  warm reception,  favourable treatment"
5513,冷遇,れいぐう,"cold reception,  inhospitality"
5514,遭難,そうなん,"disaster,  shipwreck,  accident,  being stranded"
5515,鎖,くさり,"chain,  chains"
5516,鎖国,さこく,"national isolation,  exclusion of foreigners"
5517,封鎖,ふうさ,"blockade,  freezing"
5518,連鎖,れんさ,"chain,  chaining,  connection"
5519,陥る,おちいる,"to cave in,  to collapse,  to fall,  to trap"
5520,陥落,かんらく,"fall,  sinking,  surrender"
5521,陳腐,ちんぷ,"cliched,  stale,  hackneyed"
5522,陳列,ちんれつ,"exhibition,  display,  show"
5523,陳述,ちんじゅつ,"statement,  declaration"
5524,陳情,ちんじょう,"petition,  appeal"
5525,隼,はやぶさ,falcon
5526,必須,ひっす,"indispensable,  required,  essential"
5527,お風呂,おふろ,bath
5528,倫理,りんり,"ethics,  morals"
5529,鰐蟹,わにかに,wani kani
5530,示唆,しさ,"suggestion,  hint,  implication"
5531,孤児,こじ,orphan
5532,孤島,ことう,solitary island
5533,怠惰,たいだ,"laziness,  idleness,  sloth"
5534,自慢,じまん,"pride,  boast"
5535,慢性,まんせい,chronic
5536,擁護,ようご,"protection,  advocacy,  support,  defence"
5537,特殊,とくしゅ,"special,  unique"
5538,出没,しゅつぼつ,"appearing frequently,  infesting"
5539,犠牲,ぎせい,"victim,  sacrifice,  scapegoat"
5540,食糧,しょくりょう,"provisions,  rations,  food supply"
5541,覇気,はき,"ambition,  aspiration"
5542,制覇,せいは,"conquest,  domination,  mastery"
5543,突貫,とっかん,"charge,  rush,  lightning attack"
5544,境遇,きょうぐう,"environment,  circumstances"
5545,遭う,あう,"to meet,  to encounter"
5546,陥没,かんぼつ,"cave in,  collapse,  sinking,  depression"
5547,欠陥,けっかん,"defect,  fault,  deficiency,  deformity,  shortage"
5548,颯と,さっと,"quickly,  suddenly"
5549,孤独,こどく,"isolation,  loneliness,  solitude"
5550,戦没,せんぼつ,"killed in action,  death in battle,  kia"
5552,虐げる,しいたげる,"to oppress,  to persecute,  to tyrannize"
5553,搭乗,とうじょう,"boarding,  check in,  embarkation"
5554,浄化,じょうか,"purification,  cleanup"
5555,投稿,とうこう,"submission,  post,  contribution,  submit"
5556,総帥,そうすい,"commander,  leader,  fuhrer"
5557,枯らす,からす,"to let dry,  to kill,  to season"
5558,瓜,うり,"melon,  gourd"
5559,本舗,ほんぽ,"head office,  main shop"
5560,葵,あおい,hollyhock
5561,細胞,さいぼう,"cell,  biological cell"
5562,統帥,とうすい,"supreme command,  high command"
5563,浄土,じょうど,pure land
5564,過剰,かじょう,"excess,  over"
5565,教諭,きょうゆ,teacher
5566,緯線,いせん,parallel
5567,曙,あけぼの,"dawn,  daybreak,  beginning"
5568,北緯,ほくい,"northern latitude,  north latitude"
5569,舗装,ほそう,"pavement,  road surface"
5570,襟元,えりもと,"collar,  front of the neck,  nape of the neck"
5571,丹誠,たんせい,"working earnestly,  sincerity,  diligence,  effort"
5572,丹念,たんねん,"diligence,  application"
5573,批准,ひじゅん,"ratification,  ratify"
5574,余剰,よじょう,"redundant,  surplus,  residue,  balance"
5575,召し上がる,めしあがる,"to humbly eat,  to honorably eat"
5576,啓発,けいはつ,"enlightenment,  development,  illumination,  education,  inspiration"
5577,啓蒙,けいもう,"enlightenment,  instruction"
5578,平壌,へいじょう,pyongyang
5579,寛大,かんだい,"tolerance,  liberality,  leniency"
5580,寛容,かんよう,"tolerance,  open minded,  forbearance,  generous"
5581,寛ぐ,くつろぐ,"to relax,  to feel at home"
5582,徐行,じょこう,going slowly
5583,徐々,じょじょ,"gradually,  steadily,  quietly,  slowly"
5584,惨事,さんじ,"disaster,  horrible accident"
5585,悲惨,ひさん,"disastrous,  tragic,  miserable,  wretched,  pitiful"
5586,惨め,みじめ,"miserable,  wretched,  unhappy,  sad"
5587,惨敗,ざんぱい,"crushing failure,  utterly beaten,  overwhelming defeat"
5588,披露,ひろう,"announcement,  show,  display,  introduction,  perform"
5589,挟まる,はさまる,"to get between,  to be caught in"
5590,据える,すえる,"to install,  to place,  to fix,  to set,  to lay,  to seat"
5591,搭載,とうさい,"built in,  equipped with"
5592,枯れ木,かれき,"dead tree,  dry wood"
5593,沸かす,わかす,"to boil,  to heat,  to excite"
5594,自浄,じじょう,"self purification,  self cleansing"
5595,西瓜,すいか,watermelon
5596,原稿,げんこう,"manuscript,  copy"
5597,草稿,そうこう,"notes,  draft,  manuscript"
5598,稿料,こうりょう,"advance for manuscript,  copy money"
5599,肯く,うなずく,"to nod,  to bow one's head"
5600,脂身,あぶらみ,"fat meat,  fatty meat"
5601,舗,ほ,"shop,  store"
5602,店舗,てんぽ,"shop,  store"
5603,蒙古,もうこ,mongolia
5604,軒並,のきなみ,"across the board,  row of houses,  altogether"
5605,追随,ついずい,"follow,  take after"
5606,頂戴,ちょうだい,"humbly receiving,  humble eating,  humble having"
5607,高騰,こうとう,"sudden price jump,  steep price rise"
5608,皮膚科,ひふか,dermatology
5609,剰余金,じょうよきん,"surplus,  balance"
5610,啓示,けいじ,revelation
5611,沸騰,ふっとう,"boiling,  seething"
5612,元帥,げんすい,"general of the army,  marshal,  admiral"
5613,惨状,さんじょう,"disastrous scene,  terrible spectacle"
5614,清浄,せいじょう,"pure,  clean,  purity"
5615,渦巻き,うずまき,"whirlpool,  eddy,  coil"
5616,経緯,けいい,"details,  particulars,  whole story,  how it started,  longitude and latitude"
5617,化繊,かせん,"synthetic fibers,  synthetic fibres"
5618,繊維,せんい,"fiber,  fibre,  textile"
5619,合繊,ごうせん,"synthetic fiber,  synthetic fibre"
5620,繊細,せんさい,"delicate,  dainty,  fine,  slim,  sensitive,  subtle"
5621,胞子,ほうし,spore
5622,同胞,どうほう,"brethren,  brothers,  fellow countrymen,  compatriot"
5623,胡瓜,きゅうり,cucumber
5624,艦艇,かんてい,"military vessel,  war fleet"
5625,競艇,きょうてい,boat race
5626,苗床,なえどこ,"nursery,  seedbed"
5627,虐殺,ぎゃくさつ,"atrocity,  massive killing"
5628,虐待,ぎゃくたい,"abuse,  maltreatment,  mistreatment,  cruelty"
5629,残虐,ざんぎゃく,"cruelty,  brutality"
5630,暴虐,ぼうぎゃく,"tyranny,  outrage,  atrocity,  cruel"
5631,諭す,さとす,"to admonish,  to persuade,  to warn"
5632,錦,にしき,"brocade,  fine dress,  fine clothes"
5633,随時,ずいじ,at any time
5634,随所,ずいしょ,"everywhere,  at every turn"
5635,錦鯉,にしきごい,"colored carp,  coloured carp,  colored koi,  coloured koi"
5636,随筆,ずいひつ,"essays,  miscellaneous writings,  literary jottings"
5637,頂,いただき,"crown,  summit,  spire,  easy win for one,  something received"
5638,暴騰,ぼうとう,"sudden rise,  sharp rise,  boom,  skyrocketing"
5639,急騰,きゅうとう,"sudden rise,  jump,  sharp rise"
5640,鯉,こい,"carp,  koi"
5641,緋鯉,ひごい,"red carp,  golden carp,  red koi,  golden koi"
5642,真鯉,まごい,"black carp,  black koi"
5643,浄水,じょうすい,clean water
5644,襟巻き,えりまき,"scarf,  muffler,  comforter"
5645,不浄,ふじょう,"uncleanliness,  dirtiness,  impurity,  filthiness,  defilement;"
5646,洗浄,せんじょう,"washing,  cleaning,  laundering"
5647,玄人,くろうと,"expert,  professional,  specialist,  woman of the red light district"
5648,緯度,いど,latitude
5649,南緯,なんい,"southern latitude,  south latitude"
5650,胡座,あぐら,"sitting cross legged,  sit cross legged"
5651,苗木,なえぎ,"seedling,  sapling,  young tree"
5652,蓮根,れんこん,lotus root
5653,随分,ずいぶん,"very,  extremely,  surprisingly,  considerably"
5654,皮膚病,ひふびょう,skin disease
5655,土壌,どじょう,soil
5657,悠長,ゆうちょう,"leisurely,  slow,  deliberate,  easygoing"
5658,欄干,らんかん,"guardrail,  handrail,  bannister"
5659,痴呆,ちほう,dementia
5660,歌謡,かよう,"song,  ballad"
5661,童謡,どうよう,"nursery rhyme,  children's song"
5662,秀逸,しゅういつ,excellence
5663,最優遇,さいゆうぐう,"most favorable treatment,  most favourable treatment,  very warm reception,  warm reception"
5664,酷使,こくし,"exploitation,  overuse,  abuse"
5665,残酷,ざんこく,"cruelty,  harshness"
5666,露顕,ろけん,"discovery,  detection,  exposure"
5667,顕在,けんざい,"actual,  obvious,  explicit,  overt,  apparent,  evident"
5668,顕彰,けんしょう,"honoring,  honouring"
5669,鯨,くじら,whale
5670,勲章,くんしょう,"decoration,  order,  medal"
5671,傲慢,ごうまん,"pride,  haughtiness,  arrogance,  insolence"
5672,捕鯨,ほげい,"whaling,  whale fishing"
5673,鯨肉,げいにく,whale meat
5674,卸売,おろしうり,wholesale
5675,倫理学,りんりがく,"ethics,  moral philosophy"
5676,贈呈,ぞうてい,presentation
5677,欄,らん,"column,  column of text,  field"
5678,倫理的,りんりてき,ethical
5679,鎌,かま,"sickle,  scythe"
5680,卸す,おろす,"to sell wholesale,  to grate"
5681,叙述,じょじゅつ,description
5682,自叙伝,じじょでん,autobiography
5683,呆ける,ぼける,"to grow senile,  to be mentally slow"
5684,噴き出す,ふきだす,"to burst out,  to spout out,  to bud,  to sprout"
5685,尚,なお,"furthermore,  still,  more,  greater"
5686,和尚,おしょう,"buddhist high priest,  high priest,  buddhist priest"
5687,紋章,もんしょう,"crest,  coat of arms"
5688,高尚,こうしょう,"high,  noble,  refined"
5689,時期尚早,じきしょうそう,premature
5690,庶民,しょみん,"masses,  common people"
5691,怠ける,なまける,"to neglect,  to be idle,  to slack"
5692,銀杏,いちょう,"ginkgo nut,  ginkgo"
5693,殊に,ことに,"especially,  particularly,  additionally,  unusually"
5694,厳粛,げんしゅく,"gravity,  solemnity,  severity,  seriousness"
5695,兵糧,ひょうろう,"army provisions,  provisions"
5696,民謡,みんよう,"folk song,  popular song"
5697,逸らす,そらす,"to turn away,  to avert"
5698,酷似,こくじ,"resemblance,  resemble"
5699,静粛,せいしゅく,silent
5700,酷い,ひどい,"cruel,  awful,  severe,  terrible,  violent"
5701,冷酷,れいこく,"cruel,  coldhearted,  relentless,  ruthless"
5702,酷評,こくひょう,"severe criticism,  damnation"
5703,新陳代謝,しんちんたいしゃ,metabolism
5704,陳列室,ちんれつしつ,showroom
5705,顕著,けんちょ,"remarkable,  striking,  obvious"
5706,紋,もん,"family crest,  crest,  coat of arms"
5707,偏り,かたより,"bias,  deviation,  prejudice"
5708,王冠,おうかん,"crown,  diadem,  bottle cap"
5709,殊勲,しゅくん,meritorious deeds
5710,叙勲,じょくん,"conferring of decorations,  decorate"
5711,卸値,おろしね,wholesale price
5712,叙事詩,じょじし,"epic poem,  descriptive poetry"
5713,阿呆,あほう,"fool,  simpleton,  idiot"
5714,進呈,しんてい,presentation
5715,哺育,ほいく,"nursing,  suckling"
5716,悠々,ゆうゆう,"quiet,  calm,  leisurely,  easy"
5717,悠久,ゆうきゅう,"eternity,  perpetuity,  permanence"
5718,愚,ぐ,"foolish,  silly,  stupid"
5719,愚痴,ぐち,"idle complaint,  grumble"
5720,誘拐,ゆうかい,"kidnapping,  abduction"
5721,栞,しおり,bookmark
5722,栽培,さいばい,cultivation
5723,盆栽,ぼんさい,bonsai
5724,欄外,らんがい,margin
5725,犠牲者,ぎせいしゃ,victim
5726,哺乳瓶,ほにゅうびん,baby bottle
5727,空疎,くうそ,"vain,  groundless,  futile"
5728,疎開,そかい,evacuation
5729,疎外,そがい,"estrangement,  neglect,  alienation"
5730,疎通,そつう,"mutual understanding,  removal of blockage,  drainage"
5731,疾患,しっかん,"disease,  ailment,  disorder"
5732,疾走,しっそう,"sprint,  dash"
5733,疾病,しっぺい,"illness,  disease"
5734,音痴,おんち,"tone deafness,  tone deaf,  off key"
5735,無秩序,むちつじょ,"disorder,  chaos,  confusion"
5736,膨らむ,ふくらむ,"to expand,  to swell,  to get big,  to become inflated"
5737,茎,くき,"stem,  stalk"
5738,茨城県,いばらきけん,ibaraki prefecture
5739,指紋,しもん,fingerprint
5740,別荘,べっそう,"holiday house,  villa"
5741,賠償金,ばいしょうきん,"reparations,  compensation"
5742,実践,じっせん,"practice,  practise,  put into practice,  put into practise"
5743,逸話,いつわ,anecdote
5744,逸脱,いつだつ,"deviation,  departure,  omission"
5745,報酬,ほうしゅう,"reward,  compensation"
5746,酷,こく,"severe,  harsh,  strict,  unfair"
5747,過酷,かこく,"severity,  rigor,  cruelty,  harsh"
5748,酷暑,こくしょ,intense heat
5749,卸,おろし,wholesale
5750,風呂場,ふろば,bathroom
5751,風呂屋,ふろや,public bathhouse
5752,冠,かん,"traditional cap,  crown,  diadem,  coronet;"
5753,叙情,じょじょう,"lyricism,  description of feelings,  expression of feelings"
5754,露呈,ろてい,"exposure,  disclosure"
5755,庶務,しょむ,general affairs
5756,杏,あんず,apricot
5757,過疎,かそ,depopulation
5758,疎遠,そえん,"estrangement,  neglect"
5759,疎ら,まばら,"sparse,  thin,  scattered,  straggling,  sporadic"
5760,疾風,しっぷう,"gale,  strong wind,  fresh breeze"
5761,痴漢,ちかん,"molester,  pervert"
5762,自粛,じしゅく,"self control,  self discipline,  self restraint"
5763,波紋,はもん,"ripple,  repercussions"
5764,山荘,さんそう,"mountain retreat,  mountain cottage,  mountain villa"
5765,荘厳,そうごん,"solemnity,  gravity"
5766,貫き通す,つらぬきとおす,"to follow,  to stick with,  to stick to,  to go through"
5767,逸品,いっぴん,"gem,  treasure,  article of rare beauty,  fine article"
5768,必須条件,ひっすじょうけん,"essential condition,  requisite,  must"
5769,孤児院,こじいん,orphanage
5770,空欄,くうらん,blank space
5771,応酬,おうしゅう,"exchange,  reciprocation"
5773,栓抜き,せんぬき,"bottle opener,  corkscrew"
5774,之,これ,this
5775,凝る,こる,"to be absorbed in,  to grow stiff,  to be devoted to"
5776,素朴,そぼく,"simple,  naive"
5777,治癒,ちゆ,"healing,  cure,  recovery"
5778,癒着,ゆちゃく,"adhesion,  collusion"
5779,国賓,こくひん,state guest
5780,来賓,らいひん,"guest,  visitor"
5781,鎮圧,ちんあつ,"suppression,  subjugation"
5782,鎮魂,ちんこん,repose of souls
5783,元旦,がんたん,"new year's day,  new year's morning"
5784,赴任,ふにん,"move for a different job,  move for a job"
5785,傍観,ぼうかん,"look on,  sit by and watch,  spectate"
5786,信奉,しんぽう,"belief,  faith"
5787,奉公,ほうこう,"service,  apprenticeship,  public duty"
5788,追悼,ついとう,"mourning,  memorial"
5789,惜しむ,おしむ,"to be frugal,  to be sparing"
5790,惜敗,せきはい,"loss of a close game,  regrettable defeat"
5791,愉快,ゆかい,"pleasant,  happy"
5792,憂鬱,ゆううつ,"depression,  melancholy,  dejection,  gloom"
5793,憂国,ゆうこく,patriotism
5794,憂える,うれえる,"to grieve,  to lament,  to be anxious,  to be distressed"
5795,一抹,いちまつ,"a little,  a touch,  slightly"
5796,洗浄剤,せんじょうざい,detergent
5797,南瓜,かぼちゃ,"pumpkin,  squash,  kabocha"
5798,瓜実顔,うりざねがお,"oval face,  classic features"
5799,粗野,そや,"rustic,  rough,  rude,  vulgar"
5800,粗悪,そあく,"coarse,  crude,  inferior"
5801,累進,るいしん,"successive promotion,  gradual promotion"
5802,山葵,わさび,"wasabi,  japanese horseradish"
5803,捕虜,ほりょ,"prisoner of war,  captive"
5804,鎮める,しずめる,"to appease,  to suppress,  to calm"
5805,降伏,こうふく,"surrender,  submission"
5806,伏線,ふくせん,foreshadowing
5807,伏兵,ふくへい,ambush
5808,佳作,かさく,"fine work,  good piece of work"
5809,傍,そば,"near,  close,  beside"
5810,傍受,ぼうじゅ,"monitoring,  interception,  tapping"
5811,奉仕,ほうし,"attendance,  service,  ministry"
5812,奉納,ほうのう,"dedication,  offering,  presentation"
5813,尿,にょう,"urine,  pee"
5814,哀悼,あいとう,"condolence,  regret,  sympathy,  lament"
5815,遺憾,いかん,"regrettable,  unsatisfactory"
5816,披露宴,ひろうえん,"wedding reception,  reception"
5817,抹殺,まっさつ,"denial,  erasure,  obliteration,  ignoring"
5818,抹茶,まっちゃ,"matcha,  powdered green tea"
5819,抹消,まっしょう,"erase,  delete"
5820,据え付ける,すえつける,"to install,  to equip,  to mount"
5821,繁昌,はんじょう,"prosperity,  flourishing,  thriving"
5822,栃木県,とちぎけん,tochigi prefecture
5823,栓,せん,"cork,  stopper,  plug"
5824,累計,るいけい,"cumulative total,  accumulated total"
5825,累積,るいせき,accumulation
5826,該当,がいとう,"correspond,  fulfilling,  applicable to,  qualifying as"
5827,貴賓,きひん,noble visitor
5828,賓客,ひんきゃく,"guest of honor,  privileged guest,  guest of honour"
5829,重鎮,じゅうちん,"leader,  authority"
5830,輪郭,りんかく,"outline,  border,  silhouette,  summary,  features,  appearance"
5831,鎮痛剤,ちんつうざい,"painkiller,  pain reliever,  sedative,  tranquilizer,  tranquiliser"
5832,骨髄,こつずい,"bone marrow,  marrow"
5833,神髄,しんずい,"essence,  spirit,  true meaning"
5834,脊髄,せきずい,spinal cord
5835,起伏,きふく,"undulation,  ups and downs,  highs and lows"
5836,伏せる,ふせる,"to cover,  to hide,  to lay upside down,  to turn over"
5837,潜伏,せんぷく,"conceal,  hiding,  ambush"
5838,凝固,ぎょうこ,"solidify,  coagulate,  freeze"
5839,凝視,ぎょうし,"stare,  gaze,  fixation"
5840,弥生,やよい,"yayoi period,  yayoi"
5841,循環,じゅんかん,"circulation,  rotation,  cycle"
5842,憂慮,ゆうりょ,"anxiety,  concern,  fear"
5843,一旦,いったん,"once,  for a moment,  temporarily"
5844,粗い,あらい,"coarse,  rough"
5845,老舗,しにせ,"old shop,  old store"
5846,虜,とりこ,"captive,  prisoner,  victim to love,  slave to lust"
5847,旦那,だんな,"master,  husband,  male patron"
5848,真髄,しんずい,"essence,  pith,  true meaning"
5850,歌謡曲,かようきょく,popular song
5851,飽きる,あきる,"to get tired of,  to lose interest in"
5852,尚更,なおさら,"all the more,  still less"
5853,弊害,へいがい,"evil,  harmful"
5854,師匠,ししょう,"master,  teacher"
5855,巨匠,きょしょう,"master,  maestro"
5856,呉服,ごふく,"draperies,  kimono fabric,  cloth"
5857,搾取,さくしゅ,exploitation
5858,束縛,そくばく,"restraint,  shackles,  restriction,  confinement,  binding"
5859,縫製,ほうせい,sewing
5860,倒錯,とうさく,perversion
5861,丘陵,きゅうりょう,hill
